codec,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,n_parts,git_shas,docker_image_ids,hmm_rs_versions,channel_coverage_sigma
mgcplus,hifi,10.0,30,30,1.0,5.28,5.818,5.725,2167,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,76afb1f36c82,0.1.0,0.3
mgcplus,lofi,0.02,30,0,0.0,2641.15,0.669,0.367,42,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,030a1ba5bde8|09b7978d5e01|1bcba0da12de|3ea56245c995|66264924366d|8e5790213827|91d12adf3ce3|9285733f8fd3|afc9b7c1936d|d56f0d7af4d8,0.1.0,0.3
mgcplus,lofi,0.05,30,0,0.0,1056.46,0.76,0.517,103,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,3896b536d917|6239b8a7f6de|6424350d5908|64dec047e4ce|6aa405603b7e|c4c879661b7e|dc9bf2372efc|e5c95cbabf68|e7c55ca5e818|fb4de3f94f10,0.1.0,0.3
mgcplus,lofi,0.1,30,0,0.0,528.23,0.933,0.715,210,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,4011534c5553|44b8e45e39e2|4bc135fcfdc6|4c3c2d97e302|5e8af4c8b580|61257feb2c33|63bc86b11f38|92dba4df675a|b6c8d04b3078|dca7e33e3130,0.1.0,0.3
mgcplus,lofi,0.2,30,0,0.0,264.11,1.38,1.159,383,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1726bf63ebf9|1e94f50b7d8f|2d9b258e2d16|4d70cd55bf69|4f96548ccf14|579c6bb91d66|99bd150a548d|b84bb34eedfd|dacee871186e|fe256f2a5c6f,0.1.0,0.3
mgcplus,lofi,0.3,30,0,0.0,176.08,1.639,1.466,555,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,46ebb5ec7dc3|52af4be9ddb7|61d171b13615|81ecc75754b8|83a2c181cba2|c138f0c35dd7|d1044c81713b|d386f345a01f|d3a30c2229db|e45ff06da096,0.1.0,0.3
mgcplus,lofi,0.5,30,0,0.0,105.65,2.125,1.994,839,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1f1fec2c197a|1fd52eb9ba4e|351537f316e4|3a7a5c4a4153|d4988bcff2fe|eab69355282a|eea7626ce40a|f4e56c8770d4|fae77f781ffc|fc9a877cded8,0.1.0,0.3
mgcplus,lofi,1.0,30,30,1.0,52.82,4.718,2.985,1332,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1ec713e48fea,0.1.0,0.3
mgcplus,lofi,2.0,30,30,1.0,26.41,5.514,4.457,1815,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,b7f3eb56f775,0.1.0,0.3
mgcplus,lofi,5.0,30,30,1.0,10.56,5.982,5.354,2133,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,16a20228d6f5,0.1.0,0.3
mgcplus,lofi,10.0,30,30,1.0,5.28,5.048,4.56,2167,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,5d6bf0c0b3ad,0.1.0,0.3
